junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr2|CALCRL:188243667|CALCRL:188250358|rev|-	1	0.892858972547	0	0	1
chr4|NUP54:77045802|NUP54:77065626|rev|-	1	0.82193024309	0	0	1
chr5|EMB:49698120|EMB:49707217|rev|-	0	0.0	2	3.02909158413e-10	2
chr5|ARHGAP26:142311690|ARHGAP26:142264863|rev|+	0	0.0	1	0.907248075562	1
chr2|FN1:216251412|FN1:216256537|rev|-	1	0.867951702652	0	0	1
chr1|RPAP2:92811471|RPAP2:92798948|rev|+	1	0.880912337711	0	0	1
chr13|DNAJC3:96377506|DNAJC3:96375496|rev|+	0	0.0	1	0.621335309796	1
chr5|FAM114A2:153413351|FAM114A2:153414527|rev|-	0	0.0	1	0.895622067744	1
chr1|LPGAT1:211952260|LPGAT1:211966532|rev|-	1	0.805838523782	0	0	1
chr3|RBM5:50145737|RBM5:50145503|rev|+	1	0.890738336758	0	0	1
chr12|CLIP1:122825300|CLIP1:122837333|rev|-	0	0.0	1	0.883093983492	1
chr3|RBM6:50000118|ARIH2:49020632|rev|+	0	0.0	1	5.04132405564e-05	1
chr15|TTBK2:43102812|TTBK2:43132631|rev|-	0	0.0	1	0.900486300659	1
chr11|PPP6R3:68343511|PPP6R3:68334482|rev|+	1	0.456089567212	0	0	1
chr3|STT3B:31621588|STT3B:31617888|rev|+	1	0.767955779834	0	0	1
chr15|RPS17:82823288|RPS17L:83207122|rev|-	0	0.0	1	4.50742659678e-05	1
chr8|PROSC:37623873|PROSC:37623044|rev|+	3	0.988316709587	0	0	3
chr15|GALK2:49584734|GALK2:49528048|rev|+	0	0.0	1	0.839274326536	1
chr5|EPB41L4A:111530265|EPB41L4A:111576507|rev|-	0	0.0	1	0.909420583764	1
chr2|SPAG16:214228869|SPAG16:214174783|rev|+	0	0.0	1	0.866943466945	1
chr15|C15orf38-AP3S2:90431753|C15orf38-AP3S2:90432372|rev|-	1	0.767955179771	0	0	1
chr2|MITD1:99786013|MITD1:99787892|rev|-	3	0.994310304175	0	0	3
chr10|WAC:28884970|WAC:28872328|rev|+	0	0.0	1	0.0737928917693	1
chr20|TGIF2-C20orf24:35238133|TGIF2-C20orf24:35238004|dup|+	1	0.000216066877746	1	6.18316280277e-05	1
chr15|MCTP2:94928754|MCTP2:94899366|rev|+	1	0.0812992926315	0	0	1
chr15|CGNL1:57754090|CGNL1:57743698|rev|+	0	0.0	1	0.875467873599	1
chr16|ZNF747:30545518|ZNF764:30567428|rev|-	1	0.0873371536373	0	0	1
chr9|UNC13B:35259047|UNC13B:35236466|rev|+	1	0.890738336758	0	0	1
chr5|ERAP2:96251473|ERAP2:96248341|rev|+	1	0.161645258659	0	0	1
chr20|GNAS:57485456|GNAS:57428036|rev|+	0	0.0	1	6.7362162974e-05	1
chr6|HLA-DRB6:32522467|HLA-DRB1:32548633|rev|-	0	0.0	1	4.17054909667e-05	2
chr8|TRAM1:71495399|TRAM1:71506825|rev|-	1	0.83614459033	0	0	1
chr10|FAM188A:15875629|FAM188A:15889942|rev|-	0	0.0	2	0.980454756102	2
chr10|DNAJC1:22171211|DNAJC1:22209892|rev|-	1	0.0313069686656	0	0	1
chr2|UBR3:170871876|UBR3:170843155|rev|+	1	0.888513926676	0	0	1
chr12|COPZ1:54739299|COPZ1:54737009|rev|+	0	0.0	1	0.905428245545	1
chr21|PKNOX1:44448984|PKNOX1:44424436|rev|+	1	0.848516253076	0	0	1
chr17|NF1:29546136|NF1:29483001|rev|+	1	0.892137314723	0	0	1
chr14|STRN3:31374624|STRN3:31425448|rev|-	1	0.83614459033	0	0	1
chr12|KLHL42:27934135|MED21:27180282|rev|+	1	0.00267126630836	0	0	1
chr1|GABPB2:151076151|GABPB2:151062882|rev|+	1	0.888514662212	0	0	1
chr3|NR2C2:15076316|NR2C2:15073886|rev|+	0	0.0	1	0.829078175987	1
chr11|CD44:35231601|PDHX:34978931|rev|+	0	0.0	1	0.000196051240132	1
chr9|FOCAD:20933102|FOCAD:20923659|rev|+	0	0.0	1	0.847178842235	1
chr1|NRD1:52293468|NRD1:52299842|rev|-	1	0.888514662212	0	0	1
chr10|PDCD11:105198565|PDCD11:105197772|rev|+	0	0.0	1	0.857516544497	1
chr3|FNDC3B:171851336|FNDC3B:171830242|rev|+	0	0.0	1	0.844318739331	1
chr10|DOCK1:128926028|DOCK1:128768966|rev|+	2	0.207442733489	0	0	2
chr5|GOLPH3:32143855|GOLPH3:32143986|dup|-	1	0.798811581554	1	0.606775235155	1
